taxid,status
866358,Vulnerable
571734,Least Concern
510799,Data Deficient
510800,Data Deficient
2914926,Least Concern
2914927,Data Deficient
642540,Least Concern
639287,Data Deficient
639288,Least Concern
639289,Least Concern
639290,Least Concern
639291,Least Concern
639292,Least Concern
639293,Least Concern
639294,Least Concern
639295,Least Concern
303969,Least Concern
639296,Least Concern
315540,Least Concern
2483452,Least Concern
1938386,Least Concern
572522,Least Concern
1938382,Least Concern
46276,Least Concern
1748395,Least Concern
2713995,Critically Endangered
130090,Vulnerable
115913,Critically Endangered
258024,Critically Endangered
115914,Critically Endangered
115939,Critically Endangered
115940,Critically Endangered
115941,Critically Endangered
115942,Extinct
115943,Critically Endangered
115944,Critically Endangered
1579049,Endangered
1904701,Least Concern
169196,Least Concern
2518633,Least Concern
1367278,Least Concern
80779,Least Concern
75334,Least Concern
80780,Endangered
1367282,Data Deficient
80782,Endangered
80791,Data Deficient
80783,Vulnerable
481688,Data Deficient
78079,Near Threatened
80788,Data Deficient
80789,Vulnerable
282732,Least Concern
13329,Least Concern
133233,Least Concern
366938,Least Concern
1091414,Data Deficient
1662737,Least Concern
329467,Least Concern
253938,Least Concern
78808,Least Concern
2986097,Vulnerable
241261,Near Threatened
236539,Vulnerable
335926,Endangered
236538,Least Concern
1482967,Endangered
694330,Vulnerable
2787709,Least Concern
1771826,Least Concern
1407138,Least Concern
1407139,Least Concern
2885947,Least Concern
546167,Least Concern
1551369,Least Concern
1736064,Least Concern
638454,Least Concern
1916274,Least Concern
1164712,Least Concern
323021,Vulnerable
309082,Vulnerable
380894,Near Threatened
380879,Vulnerable
930280,Least Concern
32536,Vulnerable
1272964,Least Concern
2893770,Least Concern
27689,Critically Endangered
7907,Vulnerable
62061,Extinct in the Wild
41871,Endangered
7902,Critically Endangered
7908,Endangered
61966,Critically Endangered
42330,Critically Endangered
61967,Critically Endangered
61968,Critically Endangered
7906,Endangered
111304,Critically Endangered
61970,Critically Endangered
7903,Critically Endangered
61674,Critically Endangered
7904,Vulnerable
59043,Least Concern
197678,Vulnerable
197679,Least Concern
197680,Endangered
197681,Least Concern
197684,Endangered
1874888,Endangered
1874889,Least Concern
1874890,Least Concern
342762,Least Concern
662039,Least Concern
1874892,Least Concern
138858,Least Concern
151786,Vulnerable
912614,Least Concern
1473221,Least Concern
58026,Near Threatened
120581,Critically Endangered
362341,Least Concern
42541,Least Concern
446776,Least Concern
52820,Least Concern
141525,Least Concern
141526,Least Concern
1220069,Least Concern
10068,Least Concern
10068,Least Concern
83530,Data Deficient
92878,Least Concern
60744,Least Concern
60745,Least Concern
81632,Least Concern
83762,Least Concern
2496262,Least Concern
83528,Data Deficient
2866131,Least Concern
1072561,Least Concern
83529,Data Deficient
1072560,Least Concern
83527,Least Concern
60746,Least Concern
60747,Least Concern
81631,Least Concern
37436,Least Concern
183514,Least Concern
210823,Data Deficient
210824,Data Deficient
85438,Near Threatened
2486370,Critically Endangered
662772,Least Concern
721841,Least Concern
279769,Endangered
1496656,Near Threatened
112591,Least Concern
279771,Vulnerable
2766973,Data Deficient
980949,Least Concern
980950,Least Concern
357132,Least Concern
980951,Least Concern
1225890,Least Concern
980952,Least Concern
156901,Least Concern
980953,Least Concern
980954,Least Concern
764543,Least Concern
304407,Least Concern
156903,Least Concern
156899,Least Concern
980955,Least Concern
357159,Least Concern
156900,Least Concern
1225891,Least Concern
